VERB,PP_ADJ_Count,Past_Participle,VERB_COUNT,Total_Count
know,9295289,known,431238280,4008484440462920
make,5278822,made,756784976,3994933180578272
call,12579836,called,231535477,2912678328841772
base,16034539,based,85074770,1364134717481030
relate,18480976,related,70730637,1307171204861712
write,6129985,written,204933268,1256237858840980
limit,26632120,limited,34965784,931212955382080
continue,7470363,continued,116270939,868586120680857
develop,6555800,developed,118703923,778199178403400
require,4032368,required,149034046,600960118000928
break,7668171,broken,63476585,486749308276035
increase,3666155,increased,126875587,465145567657985
fix,14609661,fixed,30995561,452834638714821
set,3240114,set,132059312,427887225641568
observe,5970593,observed,66094322,394622296272946
concern,5333326,concerned,73578997,392420777754022
come,962263,come,404241318,388986463382634
extend,8309030,extended,46659924,387698708313720
run,3811826,run,99823114,380508341346164
live,2706209,lived,140484384,380180104340256
hold,2268626,held,166455659,377625635854534
reduce,5072251,reduced,70371962,356944254626462
will,488837,willed,707079867,345646800944679
think,1182020,thought,287761411,340139743030220
add,3066646,added,105688466,324109111505036
close,8612305,closed,35819195,308485832194475
lose,3560986,lost,86614681,308433666435466
control,7914500,controlled,38792757,307025275276500
establish,2981188,established,93519727,278799887895676
expect,3631738,expected,76698218,278547832842884
mark,8186663,marked,33362017,273123590179271
grow,2676006,grown,99245686,265582051210116
cut,5102769,cut,49776857,253999802817033
advance,10793558,advanced,22644257,244412101296406
prepare,4217385,prepared,57552739,242722058167515
associate,5107423,associated,46844301,239253660346323
define,3797265,defined,62405040,236968474215600
improve,5615957,improved,40755734,228882449647438
build,2889778,built,79025753,228366882452834
affect,3673272,affected,60040476,220544999357472
vary,5061428,varied,42274512,213969398723136
read,1887128,read,111182044,209814748329632
give,400766,given,485568793,194599462895438
cover,3049406,covered,63331620,193123822017720
distinguish,6365212,distinguished,29353143,186838978061316
unite,13541389,united,13492851,182711944110039
mix,17572119,mixed,10297306,180945486411414
apply,1957168,applied,89979983,176105943368144
suggest,1872254,suggested,91763722,171804995569388
need,1063830,needed,159784886,169983955273380
marry,4137016,married,40345468,166909846643488
share,4311190,shared,38696590,166828351842100
interest,20431304,interested,8119047,165882717447288
do,120940,done,1268420684,153402797522960
speak,1292145,spoken,114744698,148266787797210
receive,1162201,received,125206319,145514909148119
measure,3484820,measured,41144254,143380319224280
involve,1458301,involved,98119814,143088222876014
draw,1573915,drawn,87643099,137942788162585
select,3108488,selected,44009845,136804075064360
experience,4178828,experienced,31518659,131711054751652
change,1322561,changed,97762740,129297187177140
point,2807380,pointed,43818455,123015054197900
hide,5837700,hidden,20881411,121899412994700
determine,1165059,determined,103323794,120378316113846
lead,908510,led,128428155,116678263099050
understand,1159926,understood,99392277,115287686291502
intend,3258739,intended,35342461,115171856016679
put,815058,put,139418855,113634453118590
assume,1718962,assumed,65456221,112516756562602
fall,1733171,fallen,63275466,109667202682686
report,1646194,reported,66266366,109087294111004
form,1082705,formed,100578000,108896303490000
drive,2193358,driven,49377072,108301595887776
leave,540224,leaved,200230364,108169248161536
shape,7584429,shaped,13744609,104245011093261
propose,2390107,proposed,42288234,101073404101038
induce,4881820,induced,20654286,100830506480520
prefer,4270007,preferred,23263701,99336166115907
consider,665173,considered,148770539,98958145738247
print,5065877,printed,19498174,98775351208598
produce,763536,produced,126220810,96374132384160
force,2423741,forced,39560644,95884754849204
desire,3131594,desired,30601070,95830127205580
finish,3633538,finished,25805647,93765798989086
accept,1340237,accepted,69406016,93020510665792
inform,3928240,informed,23238780,91287505147200
fill,1854660,filled,49063765,90996602394900
protect,2479456,protected,36485454,90464077833024
cost,6865777,cost,13034233,89490137144041
plan,2950532,planned,29098967,85857433300444
train,4802961,trained,17832902,85650732822822
drink,4424578,drunk,19172546,84830425235588
keep,533531,kept,150948013,80535444323903
bear,896521,borne,85805498,76926430872458
face,1859085,faced,40518958,75328187033430
isolate,7884233,isolated,9552901,75317297309933
repeat,2320805,repeated,31394391,72860259604755
record,2081792,recorded,34622871,72077615864832
note,1011976,noted,68743353,69566623395528
please,1845785,pleased,36375614,67141562686990
suppose,1189631,supposed,56432610,67133982266910
support,1005528,supported,65857619,66221679917832
derive,1940343,derived,33891428,65760995079804
modify,3801228,modified,17118722,65072165390616
publish,1048143,published,61566307,64530293717901
choose,971691,chosen,65798420,63935732528220
wear,1644423,worn,38803981,63810158847963
satisfy,2263699,satisfied,28066617,63534372836283
occupy,2131580,occupied,29283794,62420749614520
direct,1793599,directed,34547688,61964698649112
imply,2321950,implied,25961879,60282184944050
integrate,6921130,integrated,8688864,60136757296320
agree,1106919,agreed,53694743,59435731226817
treat,1175664,treated,50526385,59402051894640
combine,1668461,combined,35102827,58567697839247
arm,9820729,armed,5954822,58480693105238
connect,1531361,connected,36848860,56428907098460
employ,1137066,employed,49593363,56390926892958
convince,3459545,convinced,16286661,56344436629245
indicate,699278,indicated,80279895,56137964415810
age,7071797,aged,7934486,56111074291342
own,2603236,owned,21428055,55782284185980
settle,1769647,settled,31114532,55061738210204
fell,1733171,fallen,31319629,54282272713559
concentrate,3634751,concentrated,14901390,54162842203890
recognize,1060235,recognized,50773239,53831565051165
celebrate,6691829,celebrated,8027323,53717472843767
end,1156643,ended,45925562,53119479808366
detail,18616307,detailed,2771039,51586512732973
organize,1564800,organized,32494356,50847168268800
calculate,1954237,calculated,25798074,50415550739538
mind,4616262,minded,10816295,49930851589290
burn,1969872,burnt,25246366,49732109485152
head,2744177,headed,17983377,49349569545729
appoint,1613441,appointed,29225808,47154116885328
complicate,8844944,complicated,5237150,46322298469600
create,464757,created,99476995,46232629765215
restrict,3169659,restricted,14346812,45474501777108
state,827639,stated,53017054,43878981555506
operate,1001005,operated,42677597,42720487984985
turn,317585,turned,126276057,40103381562345
prove,635220,proven,62759766,39866258558520
acquire,1230718,acquired,32369249,39837417390782
spend,761713,spent,51184700,38988051391100
cast,2085755,cast,18263927,38094077059885
distribute,1980981,distributed,19189179,38013399004599
have,10251,had,3638104632,37294210582632
raise,547814,raised,67018601,36713727888214
qualify,3173747,qualified,11466116,36390551256652
scatter,3837100,scattered,9378818,35987462547800
bend,2934968,bent,11952292,35079594546656
shoot,1755308,shot,19835761,34817869969388
balance,4383966,balanced,7718432,33837343461312
separate,1281702,separated,26321749,33736638336798
include,164389,included,204365031,33595363081059
orient,5774904,oriented,5753195,33224148818280
enhance,2421042,enhanced,13717306,33210173952852
expose,1436078,exposed,22942004,32946507220312
bless,4247986,blessed,7592008,32250743695888
try,257845,tried,124123125,32004527165625
excite,3237943,excited,9841386,31865846908998
approve,1837531,approved,17290503,31771835268093
recommend,1283564,recommended,24547552,31508354035328
register,3175899,registered,9852835,31291608823665
educate,2466308,educated,12626513,31140870024004
sit,430898,sat,71892858,30978488726484
estimate,1054720,estimated,29343376,30949045534720
hand,2218884,handed,13897826,30837663746184
tire,4668530,tired,6484550,30273316211500
collect,922048,collected,32144936,29639173948928
sustain,1834817,sustained,16034326,29420053928342
devote,1514144,devoted,19405807,29383186234208
seek,424006,sought,68528330,29056423089980
be,7945,been,3503566647,27835837010415
manage,835117,managed,32893353,27469798277301
allow,251222,allowed,108122391,27162723311802
elect,1309509,elected,20084492,26300823034428
want,151655,wanted,172279113,26126988882015
dry,2296339,dried,11366154,26100542710206
allege,3919365,alleged,6459209,25315997682285
round,3012041,rounded,8270409,24910810994769
regulate,1852975,regulated,13379610,24792082839750
link,1228520,linked,19874365,24416054889800
prescribe,2373568,prescribed,10106633,23988780676544
order,769229,ordered,31150758,23962066425582
justify,1182545,justified,20245126,23940772525670
secure,766348,secured,31146910,23869372184680
paint,1219614,painted,19387857,23645701827198
cultivate,2727628,cultivated,8664030,23632250820840
respect,1718977,respected,13620348,23413064943996
manufacture,1843003,manufactured,12403075,22858904434225
reveal,571609,revealed,39958729,22840769124961
retire,1845365,retired,12280711,22662394254515
promise,1095275,promised,20567755,22527347857625
complete,654552,completed,34372043,22498289489736
assure,1201426,assured,18530070,22262507879820
design,579757,designed,38156465,22121477679005
declare,582543,declared,37836636,22041467445348
commit,815276,committed,26926880,21952839018880
accomplish,987377,accomplished,22186362,21906303552474
remember,352138,remembered,62097375,21866845437750
elevate,3854475,elevated,5614510,21640988432250
alter,1112785,altered,19094700,21248295739500
let,171427,let,123668968,21200200177336
generate,792637,generated,26715707,21175857849359
express,330045,expressed,64136314,21167869754130
specialize,6316970,specialized,3283393,20741095079210
freeze,2978476,frozen,6943780,20681882079280
inspire,1654009,inspired,12413318,20531739691862
specify,795132,specified,25466427,20249171033364
learn,195412,learnt,101993960,19930843711520
prolong,4737612,prolonged,4133922,19584918474264
confuse,2121142,confused,8911386,18902315122812
bound,4962622,bound,3808577,18900528008894
fail,344518,failed,54841907,18894024115826
injure,2633952,injured,7061324,18599188472448
attempt,482303,attempted,38424161,18532088122783
study,362842,studied,49221465,17859614803530
incline,1978672,inclined,8996705,17801528275760
assist,870136,assisted,20041916,17439192620576
pronounce,1821372,pronounced,9563652,17418967970544
expand,770002,expanded,22521866,17341881863732
attach,669573,attached,25858041,17313846086493
acknowledge,871814,acknowledged,19278815,16807540820410
charge,698578,charged,23913132,16705187926296
diminish,1418594,diminished,11674549,16561445164106
anticipate,1543468,anticipated,10678520,16481953907360
illustrate,448749,illustrated,35677377,16010187251373
relax,2288532,relaxed,6958130,15923903165160
enlarge,1954304,enlarged,7924026,15485955707904
disturb,1420278,disturbed,10831194,15383306551932
light,1179164,lighted,12710047,14987229860708
fit,528223,fitted,28324813,14961817697299
delay,1762442,delayed,8388360,14783997975120
sell,266039,sold,53423758,14212803154562
pass,125763,passed,112959724,14206153769412
dominate,1026986,dominated,13798149,14170505848914
forget,397062,forgotten,35293866,14013853021692
project,1429024,projected,9745449,13926480511776
furnish,809213,furnished,17075658,13817844437154
crowd,2232953,crowded,6069824,13553631710272
impose,533840,imposed,25050662,13373045402080
guide,786166,guided,16930206,13309952330196
trouble,2440841,troubled,5425405,13242550965605
suspect,969444,suspected,13575991,13161163019004
split,1991483,split,6563062,13070226400946
hire,1152093,hired,11019046,12694965763278
blow,911565,blown,13841080,12617044090200
threaten,643090,threatened,19323338,12426645434420
cook,1306063,cooked,9435373,12323191566499
abandon,641382,abandoned,19099057,12249791376774
infect,3031317,infected,3985799,12082220267283
hit,730442,hit,16445469,12012461267298
suit,1141855,suited,10475868,11961922255140
constitute,380367,constituted,31247094,11885363403498
incorporate,761705,incorporated,15536246,11834036259430
surprise,907123,surprised,12985227,11779198071921
say,18102,said,636369821,11519566499742
regard,182243,regarded,62934837,11469433499391
structure,3033192,structured,3750485,11375941098120
ally,4717153,allied,2407802,11357970427706
tear,887049,torn,12595780,11173074053220
sink,779316,sunken,14264001,11116164203316
